,Head x,Head y,Neck x,Neck y,Torso x,Torso y,Tailhead x,Tailhead y,warped Head x,warped Head y,warped Neck x,warped Neck y,warped Torso x,warped Torso y,warped Tailhead x,warped Tailhead y,Elapsed Time,decision,Head displacement,Neck displacement,Torso displacement,Tailhead displacement,Head velocity,Neck velocity,Torso velocity,Tailhead velocity,Head acceleration,Neck acceleration,Torso acceleration,Tailhead acceleration
0,280.6558837890625,103.90052795410156,287.5231018066406,101.04273986816406,299.2040100097656,100.27436828613281,311.114013671875,100.63265991210938,288.7953131296132,112.50251728932155,291.4348520276634,118.95000115748678,292.4392844255476,129.9826558201752,291.69548147933153,141.00562762787686,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3684.4597016861667,4458.020967894347,4283.87962923773,5655.087344908392
1,276.36981201171875,104.0589599609375,283.2046813964844,103.35518646240234,295.0666198730469,100.6170883178711,304.97967529296875,102.97675323486328,288.77155771963,108.40874209985212,290.0511130623343,114.19384636715043,292.2477923820954,125.22664304054477,289.1377115067373,135.2663497858298,0.03333333333333333,,4.0938441129846295,4.95335663099372,4.759866254708588,6.283430383231547,122.81532338953889,148.60069892981159,142.79598764125765,188.5029114969464,-9.693809874788144,-182.11161637955342,-23.998242088468373,-832.6241729183408
2,271.8533935546875,104.15530395507812,276.6962890625,103.61140441894531,288.4147033691406,100.5633773803711,300.0447692871094,100.75235748291016,288.70154123177235,104.32626925179093,289.2915653069857,109.503943709454,292.5163238268213,120.50106501309247,291.8919068971903,130.67007897811249,0.06666666666666667,,4.083073213123754,4.751010390571993,4.733201541276957,5.358292413322279,122.49219639371262,142.5303117171598,141.9960462383087,160.74877239966838,-129.59415015633667,-323.9256524244027,-273.2095997942426,-1111.2402165326562
3,267.68414306640625,104.53875732421875,272.35760498046875,103.71285247802734,284.0948791503906,100.09996795654297,295.8049621582031,99.86308288574219,288.44132240687117,100.39579407083104,289.01436514268914,105.12160896702652,293.1137799665584,116.11190618446335,293.062162037827,126.71604007117708,0.1,,3.9390797129500466,4.391092998989324,4.429635319283354,4.123581061619328,118.1723913885014,131.73278996967971,132.88905957850062,123.70743184857984,-158.4208824326275,-308.86386658061855,-377.27234373863837,-218.7149751046249
4,263.62841796875,104.85893249511719,268.2969665527344,104.0087661743164,280.04620361328125,100.0791244506836,291.6568298339844,99.57205963134766,288.2103865167442,96.63983042431308,288.91744590307303,101.07485847832395,293.36113483671755,112.10909776391179,293.52905790452655,122.86366567507824,0.13333333333333333,,3.763056510247127,4.047910925010859,4.010443826240422,3.880564422614189,112.89169530741381,121.43732775032576,120.31331478721268,116.41693267842568,-40.417484653810476,-147.09035163942687,-108.241904865979,-225.5085542705045
5,259.7656555175781,104.85934448242188,264.4494323730469,104.14512634277344,276.2525634765625,100.42140197753906,287.81494140625,100.01287078857422,288.3107353748283,92.9230366314094,288.99926471209216,97.1912430484283,292.5449330816661,108.30551043605054,293.129625375458,119.25570932485458,0.16666666666666666,,3.7181481939651153,3.884477200967051,3.8901750430560016,3.6299993623136286,111.54444581895346,116.53431602901153,116.70525129168004,108.89998086940886,282.81979562057603,90.80780796436756,456.96513178728736,1072.5956149568071
6,255.41122436523438,104.3442153930664,260.1630859375,103.99750518798828,272.00592041015625,103.02264404296875,284.0262756347656,102.85125732421875,288.9205341622206,88.93701932113883,289.46672429450075,93.23337827569067,290.44408334075496,104.44182325838146,289.92187081299227,115.65573731528146,0.2,,4.032392411321311,3.985374765371904,4.3979140783752095,4.821772267821192,120.97177233963933,119.56124296115712,131.9374223512563,144.65316803463577,684.3623475256754,328.2247460225716,-234.8417467461931,-943.0385855637256
7,251.07659912109375,103.8642349243164,255.83213806152344,103.84960174560547,267.95379638671875,103.13755798339844,279.9337158203125,102.96546173095703,290.37162364658525,84.36917262832327,290.52065701812995,89.01291319597473,290.38900887453093,100.30521106605839,289.9123199783041,111.88179778337528,0.23333333333333334,,4.792795019683172,4.350068927619206,4.136978804212773,3.7739516171948306,143.78385059049518,130.50206782857617,124.10936412638318,113.21854851584492,907.7793460421964,416.15812921192855,796.5090961373946,597.6973732966984
8,244.34030151367188,101.01103973388672,251.333740234375,101.32816314697266,263.5545654296875,100.89319610595703,275.38232421875,103.33065795898438,292.7654020132451,79.08461810061065,291.9392495376783,84.41427943844671,292.45437556965345,95.72758798882627,289.62346212237287,107.45314832626582,0.26666666666666666,,5.801438737507835,4.812466848965793,5.0219889110321,4.438059809746718,174.04316212523506,144.3740054689738,150.659667330963,133.14179429240153,-367.75967766976976,151.25983032931742,52.058692153188986,2665.4736894796624
9,239.61476135253906,100.88876342773438,244.4700164794922,101.19610595703125,256.3721008300781,100.47563171386719,268.059326171875,100.5805435180664,293.1416285065922,73.70494083742298,292.6724807828993,79.48801471114268,293.5999290217535,90.77860835215945,293.06577981891206,100.90288358682335,0.3,,5.392816873430313,4.980533327109479,5.079831902313421,7.399697242501898,161.7845062029094,149.41599981328437,152.39495706940264,221.99091727505694,177.72414515811136,25.176457478602572,-120.96618702819143,-2829.1065671485394
10,232.75843811035156,103.2080078125,239.73939514160156,101.39435577392578,251.7917022705078,100.51985931396484,263.6679992675781,100.72630310058594,291.55519864750823,68.3444779977426,292.35603653506485,74.4895142262516,293.72401004089096,85.83474016958694,293.02874699023465,96.6467991966468,0.3333333333333333,,5.5902881458282145,5.008507168752371,4.945425027837653,4.256245501225743,167.70864437484644,150.25521506257112,148.3627508351296,127.6873650367723,-708.3796900724,95.36235752442053,24.646951647983713,67.5707206854797
