,Head x,Head y,Neck x,Neck y,Torso x,Torso y,Tailhead x,Tailhead y,warped Head x,warped Head y,warped Neck x,warped Neck y,warped Torso x,warped Torso y,warped Tailhead x,warped Tailhead y,Elapsed Time,decision
0,280.6558838,103.900528,287.5231018,101.0427399,299.20401,100.2743683,311.1140137,100.6326599,288.7953131,112.5025173,291.434852,118.9500012,292.4392844,129.9826558,291.6954815,141.0056276,0,
1,276.369812,104.05896,283.2046814,103.3551865,295.0666199,100.6170883,304.9796753,102.9767532,288.7715577,108.4087421,290.0511131,114.1938464,292.2477924,125.226643,289.1377115,135.2663498,0.033333333,
2,271.8533936,104.155304,276.6962891,103.6114044,288.4147034,100.5633774,300.0447693,100.7523575,288.7015412,104.3262693,289.2915653,109.5039437,292.5163238,120.501065,291.8919069,130.670079,0.066666667,
3,267.6841431,104.5387573,272.357605,103.7128525,284.0948792,100.099968,295.8049622,99.86308289,288.4413224,100.3957941,289.0143651,105.121609,293.11378,116.1119062,293.062162,126.7160401,0.1,
4,263.628418,104.8589325,268.2969666,104.0087662,280.0462036,100.0791245,291.6568298,99.57205963,288.2103865,96.63983042,288.9174459,101.0748585,293.3611348,112.1090978,293.5290579,122.8636657,0.133333333,
5,259.7656555,104.8593445,264.4494324,104.1451263,276.2525635,100.421402,287.8149414,100.0128708,288.3107354,92.92303663,288.9992647,97.19124305,292.5449331,108.3055104,293.1296254,119.2557093,0.166666667,
6,255.4112244,104.3442154,260.1630859,103.9975052,272.0059204,103.022644,284.0262756,102.8512573,288.9205342,88.93701932,289.4667243,93.23337828,290.4440833,104.4418233,289.9218708,115.6557373,0.2,
7,251.0765991,103.8642349,255.8321381,103.8496017,267.9537964,103.137558,279.9337158,102.9654617,290.3716236,84.36917263,290.520657,89.0129132,290.3890089,100.3052111,289.91232,111.8817978,0.233333333,
8,244.3403015,101.0110397,251.3337402,101.3281631,263.5545654,100.8931961,275.3823242,103.330658,292.765402,79.0846181,291.9392495,84.41427944,292.4543756,95.72758799,289.6234621,107.4531483,0.266666667,
9,239.6147614,100.8887634,244.4700165,101.196106,256.3721008,100.4756317,268.0593262,100.5805435,293.1416285,73.70494084,292.6724808,79.48801471,293.599929,90.77860835,293.0657798,100.9028836,0.3,
10,232.7584381,103.2080078,239.7393951,101.3943558,251.7917023,100.5198593,263.6679993,100.7263031,291.5551986,68.344478,292.3560365,74.48951423,293.72401,85.83474017,293.028747,96.6467992,0.333333333,
11,228.4895172,103.3910294,235.5079041,103.4458084,247.9879913,100.9324875,259.9086304,102.980835,290.8721128,63.59009895,291.4253507,69.46044079,292.8944691,80.93160786,290.5035262,93.1277612,0.366666667,
12,223.3769836,103.3235931,228.35289,103.632431,240.6812286,103.3725433,255.1708374,103.3176041,291.6419089,59.07748012,290.8979745,64.38539984,291.0386394,76.01119563,290.2531917,88.61103568,0.4,
13,219.0904083,100.9840927,224.0448303,103.3984833,236.4139557,103.4774475,248.7081604,103.605629,293.6146739,54.40417621,291.1174297,59.45544321,290.559596,71.37228797,290.1125491,82.74516962,0.433333333,
14,212.5991516,100.6486359,219.9395599,103.0359116,232.5687256,103.3473587,244.495224,103.7727432,294.6968284,49.35402248,292.0114422,54.68440369,290.8472716,67.02572983,290.0450127,78.64396802,0.466666667,
15,208.0163727,100.4167404,212.8565521,101.1692657,227.2825317,103.1557159,239.7451172,103.8535309,295.0878208,44.74473693,293.3433336,50.16013689,291.1826772,62.84898724,290.0948383,74.25623442,0.5,T-entry
16,203.9742432,99.96553802,208.729126,100.6006546,223.1979675,103.0650864,234.9886169,104.338562,295.580966,40.80792188,294.6782291,46.26637081,291.9080215,58.90817056,289.6716728,69.83536222,0.533333333,T-entry
17,200.4589996,99.24025726,207.1734467,100.049202,219.4747009,101.013382,231.3348694,104.0441513,297.152282,37.44832798,296.3050881,43.06662725,293.6301384,55.21904587,290.1274193,66.38747384,0.566666667,T-entry
18,196.836731,95.5528717,203.5525665,97.0817337,215.884552,100.9457092,227.6891327,104.148262,301.020075,34.83194858,298.6816458,40.29433705,294.3407144,51.74574975,290.1164418,62.96846221,0.6,T-entry
19,195.6632385,91.47241211,200.1079407,95.55749512,211.9541473,100.4107819,223.4822235,104.2793884,305.8275018,33.28828799,301.5985153,37.9061983,294.8766446,48.53751735,290.0908189,59.06797464,0.633333333,T-entry
20,195.0775452,87.85999298,199.2273865,92.15528107,208.4789581,99.83690643,219.5977478,104.5518036,310.2753536,32.12802206,304.9603852,35.97418755,296.1709121,45.75854544,289.8900321,55.41663189,0.666666667,Acc
21,192.3726196,84.48078156,196.3184509,88.77801514,207.2006683,96.93149567,215.9367828,104.3325272,313.7395378,30.76286983,308.172614,34.46523163,298.7479809,43.44907673,290.2580761,52.00470688,0.7,Acc
22,191.8536682,83.57983398,195.6553192,87.83581543,204.1031189,96.1447525,212.2685089,103.9291229,315.9124236,29.86432818,310.7933524,33.4740418,300.2081113,41.40162827,290.8419627,48.52805709,0.733333333,Acc
23,191.6032562,80.37575531,195.1864319,84.90851593,202.9594727,95.32561493,208.6190491,103.5951614,318.4114129,29.58774583,313.2064681,32.96623839,301.5402889,39.53563166,291.3438907,45.29870861,0.766666667,Acc
24,191.7090912,79.56034851,195.0144806,84.08462524,200.2346802,92.74007416,207.5168915,103.0331192,320.6181432,29.9635615,315.4972849,32.82370131,303.9462603,37.74810853,292.0356329,44.02783702,0.8,Acc
25,192.5167847,76.1002655,195.1080322,80.75164032,199.223877,91.56904602,203.6634216,100.0844955,324.0140284,31.20977323,317.8051885,32.9196084,306.0696891,36.10250709,295.6048912,40.6696711,0.833333333,Acc
26,195.7420502,73.00189209,195.3497925,79.78360748,196.3556366,89.07003021,199.9581909,99.72099304,327.1211476,32.99144522,319.5986404,33.1326248,308.4445888,34.68402239,296.1433096,37.10539138,0.866666667,Acc
27,196.3285675,72.49769592,195.6886597,79.09867096,195.767334,88.37049866,196.50177,99.17760468,328.2334705,34.05454329,320.8666988,33.36758799,309.5844219,33.7064003,296.8846801,33.99519439,0.9,Acc
28,196.4019165,72.39497375,195.5986938,77.10099792,195.3389282,88.15486908,195.6927643,96.91336823,328.2946095,34.51068524,321.6959402,33.57864715,309.8529188,33.10273156,299.5601284,33.23355323,0.933333333,Acc
29,196.6254425,72.53517914,195.7627869,79.03791809,195.1645355,88.04824829,195.3457794,96.70549774,328.1826328,35.23364391,321.9817732,33.78211954,310.0041298,32.60904811,299.8142152,32.78746813,0.966666667,Acc
30,199.3570404,72.51896667,196.2291107,77.00054169,195.0764465,87.7179184,192.6156311,96.31481934,328.1101178,36.47391487,322.2489081,33.96960697,310.3314212,31.94169242,300.3545721,30.46817782,1,Acc
31,199.4579926,72.60411835,196.3030853,77.0351181,192.6943207,87.55661011,192.1080627,96.12031555,327.3484658,37.24323914,321.8501884,34.08110103,310.6037651,31.03294193,300.5977662,29.85750096,1.033333333,Acc
32,199.8725433,75.22136688,196.4142151,79.38472748,192.0545197,87.53061676,190.9972382,95.93731689,325.2519329,37.50679459,320.6577454,34.09130102,310.6139752,30.18404829,300.8458136,28.76812243,1.066666667,Acc
33,199.8530731,76.03473663,196.2319336,80.13491821,191.5021667,87.83976746,188.182724,95.78513336,323.9462369,37.4710637,319.598108,34.02355394,310.3247689,29.57663134,301.109544,26.3312234,1.1,Acc
34,199.5415497,76.16504669,195.9010773,80.21836853,191.1269226,88.06113434,188.0689087,96.24210358,323.6275216,37.38159095,319.0995595,33.95319496,310.1010833,29.24796228,300.5780208,26.05151245,1.133333333,Acc
35,199.8506165,76.32652283,196.2239075,80.2631073,191.2153625,87.9692688,187.8623962,96.11873627,323.55005,37.45825843,318.9822824,33.95173042,310.1827024,29.15370193,300.728741,25.92393434,1.166666667,Acc
36,200.0502167,76.35087585,196.4577026,80.25930023,191.3707123,87.76950073,187.7353363,95.54036713,323.5380832,37.5685298,318.9715355,34.0209357,310.3574386,29.18553924,301.4097228,25.81141551,1.2,Acc
37,199.9917603,76.30940247,196.4089661,80.22785187,191.3043976,87.8447876,187.8743134,95.85378265,323.4510175,37.6100711,318.8716525,34.18783518,310.2735267,29.26032066,301.0385881,25.93285723,1.233333333,Acc
